iata_id,airline,alias,icao,callsign,country,active
B0,Aws express,,666,aws,United States,Y
B1,Baltic Air lines,,BA1,Baltic,Latvia,Y
B2,Belavia Belarusian Airlines,\N,BRU,BELARUS AVIA,Belarus,Y
B3,Bellview Airlines,\N,BLV,BELLVIEW AIRLINES,Nigeria,Y
B4,BACH Flugbetriebsges,\N,BCF,BACH,Austria,N
B4,Bankair,\N,BKA,BANKAIR,United States,N
B4,Flyglobespan,\N,GSM,GLOBESPAN,United Kingdom,Y
B5,Flightline,\N,FLT,FLIGHTLINE,United Kingdom,Y
B6,JetBlue Airways,\N,JBU,JETBLUE,United States,Y
B7,Uni Air,,UIA,Glory,Taiwan,Y
B8,Eritrean Airlines,\N,ERT,ERITREAN,Eritrea,Y
B9,Air Bangladesh,\N,BGD,AIR BANGLA,Bangladesh,Y
BA,British Airways,\N,BAW,SPEEDBIRD,United Kingdom,Y
BB,Seaborne Airlines,\N,SBS,SEABORNE,United States,Y
BC,Skymark Airlines,\N,SKY,SKYMARK,Japan,Y
BD,bmi,bmi British Midland,BMA,MIDLAND,United Kingdom,Y
BE,Flybe,\N,BEE,JERSEY,United Kingdom,Y
BF,Aero-Service,\N,RSR,CONGOSERV,Republic of the Congo,Y
BF,Bluebird Cargo,\N,BBD,BLUE CARGO,Iceland,N
BG,Biman Bangladesh Airlines,\N,BBC,BANGLADESH,Bangladesh,Y
BH,Hawkair,\N,,,Canada,Y
BI,Royal Brunei Airlines,\N,RBA,BRUNEI,Brunei,Y
BJ,Nouvel Air Tunisie,\N,LBT,NOUVELAIR,Tunisia,Y
BK,Potomac Air,\N,PDC,DISTRICT,United States,Y
BL,Jetstar Pacific,Pacific Airlines,PIC,PACIFIC AIRLINES,Vietnam,Y
BM,Air Sicilia,\N,,,Italy,Y
BM,Bayu Indonesia Air,\N,BYE,BAYU,Indonesia,N
BN,Braniff International Airways,\N,BNF,Braniff,United States,N
BN,Forward Air International Airlines,\N,,,United States,N
BN,Horizon Airlines,\N,HZA,,Australia,Y
BO,Bouraq Indonesia Airlines,\N,BOU,BOURAQ,Indonesia,N
BP,Air Botswana,\N,BOT,BOTSWANA,Botswana,Y
BQ,Aeromar,\N,ROM,BRAVO QUEBEC,Dominican Republic,N
BQ,Buquebus Líneas Aéreas,,BQB,,Uruguay,Y
BR,EVA Air,\N,EVA,EVA,Taiwan,Y
BS,British International Helicopters,\N,BIH,BRINTEL,United Kingdom,Y
BT,Air Baltic,\N,BTI,AIRBALTIC,Latvia,Y
BU,Braathens,Braathens SAFE,BRA,Braathens,Norway,N
BU,Blue Sky America,,BKY,,United States,N
BU,Baikotovitchestrian Airlines ,,BUU,,American Samoa,Y
BV,Blue Panorama Airlines,\N,BPA,BLUE PANOROMA,Italy,Y
BW,Caribbean Airlines,\N,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
BX,Coast Air,\N,CST,COAST CENTER,Norway,N
BX,Air Busan,\N,ABL,Air Busan,Republic of Korea,Y
BY,Thomsonfly,\N,TOM,TOMSON,United Kingdom,Y
BZ,Blue Dart Aviation,\N,BDA,BLUE DART,India,N
BZ,Keystone Air Services,\N,KEE,KEYSTONE,Canada,N
BZ,Aero Brazil,,BZL,,Brazil,N
BZ,Black Stallion Airways,,BSA,Stallion,United States,Y
C0,Centralwings,\N,CLW,CENTRALWINGS,Poland,Y
C1,CanXpress,,CA1,CAX,Canada,Y
C2,CanXplorer,,CAP,,Canada,Y
C3,Contact Air,Contactair,KIS,CONTACTAIR,Germany,Y
C3,ICAR Airlines,\N,,,Ukraine,N
C3,QatXpress,qatXpress,QAX,,Qatar,Y
C4,Zimex Aviation,\N,IMX,ZIMEX,Switzerland,N
C4,LionXpress,lionXpress,LIX,LIX,Cameroon,Y
C5,CommutAir,\N,UCA,COMMUTAIR,United States,Y
C6,CanJet,\N,CJA,CANJET,Canada,N
C7,Rico Linhas A,\N,RLE,RICO,Brazil,N
C7,Sky Wing Pacific,,CR7,,South Korea,Y
C8,Chicago Express,\N,WDY,WINDY CITY,United States,N
C8,Chicago Express (C8),ATA Connection,\N,,United States,N
C9,Cirrus Airlines,\N,RUS,CIRRUS AIR,Germany,Y
CA,Air China,\N,CCA,AIR CHINA,China,Y
CB,Suckling Airways,,\N,,United Kingdom,N
CB,CCML Airlines,,CCC,,Colombia,Y
CC,Air Atlanta Icelandic,\N,ABD,ATLANTA,Iceland,Y
CC,Macair Airlines,\N,MCK,,Australia,Y
CD,Alliance Air,\N,LLR,ALLIED,India,N
CD,Air India Regional,,\N,ALLIED,India,Y
CE,Nationwide Airlines,\N,NTW,NATIONWIDE,South Africa,Y
CF,City Airline,\N,SDR,SWEDESTAR,Sweden,Y
CG,Airlines PNG,\N,TOK,BALUS,Papua New Guinea,Y
CH,Bemidji Airlines,\N,BMJ,BEMIDJI,United States,Y
CI,China Airlines,\N,CAL,DYNASTY,Taiwan,Y
CJ,China Northern Airlines,\N,CBF,CHINA NORTHERN,China,N
CJ,BA CityFlyer,\N,CFE,FLYER,United Kingdom,Y
CK,China Cargo Airlines,\N,CKK,CARGO KING,China,N
CL,Lufthansa CityLine,\N,CLH,HANSALINE,Germany,Y
CM,Copa Airlines,\N,CMP,COPA,Panama,Y
CN,Islands Nationair,\N,,,Papua New Guinea,N
CN,Westward Airways,\N,WWD,WESTWARD,United States,N
CN,Canadian National Airways,,YCP,CaNational,Canada,Y
CO,Continental Airlines,\N,COA,CONTINENTAL,United States,Y
CO,Continental Express,\N,,JETLINK,United States,Y
CP,Canadian Airlines,\N,CDN,CANADIAN,Canada,Y
CP,Compass Airlines,\N,CPZ,Compass Rose,United States,Y
CQ,Sunshine Express Airlines,\N,EXL,,Australia,N
CQ,SOCHI AIR,SOCHI,KOL,SLOW FROG,Russia,Y
CR,OAG,\N,,,United Kingdom,N
CR,Air Ops,,\N,,Sweden,N
CS,Continental Micronesia,\N,CMI,AIR MIKE,United States,Y
CT,Civil Air Transport,\N,CAT,Mandarin,Taiwan,N
CT,Alitalia Cityliner,,\N,,Italy,Y
CU,Cubana de Aviación,\N,CUB,CUBANA,Cuba,Y
CV,Air Chathams,\N,CVA,CHATHAM,New Zealand,Y
CV,Cargolux,\N,CLX,CARGOLUX,Luxembourg,N
CW,Air Marshall Islands,\N,CWM,AIR MARSHALLS,Marshall Islands,Y
CX,Cathay Pacific,\N,CPA,CATHAY,Hong Kong SAR of China,Y
CY,Cyprus Airways,\N,CYP,CYPRUS,Cyprus,Y
CZ,China Southern Airlines,\N,CSN,CHINA SOUTHERN,China,Y
ЯП,Polar Airlines,,\N,,Russia,Y
АЯ,Аэросервис,,\N,,Russia,Y
D1,Domenican Airlines,Domenican,MDO,Domenican,Dominican Republic,Y
D2,Severstal Air Company,,\N,,Russia,Y
D3,Daallo Airlines,\N,DAO,DALO AIRLINES,Djibouti,Y
D4,Alidaunia,\N,LID,ALIDA,Italy,N
D5,Dauair,\N,DAU,DAUAIR,Germany,N
D5,Skyline nepc,,\N,,India,N
D5,NEPC Airlines,,\N,,India,N
D6,Interair South Africa,\N,ILN,INLINE,South Africa,Y
D7,Dinar,\N,RDN,AERO DINAR,Argentina,N
D7,AirAsia X,FlyAsianXpress,XAX,XANADU,Malaysia,Y
D8,Djibouti Airlines,\N,DJB,DJIBOUTI AIR,Djibouti,Y
D9,Aeroflot-Don,\N,DNV,DONAVIA,Russia,Y
DA,Air Georgia,\N,GRG,AIR GEORGIA,Georgia,N
DA,Dana Air,,\N,DANACO,Nigeria,Y
DB,Brit Air,\N,BZH,BRITAIR,France,Y
DC,Golden Air,\N,GAO,GOLDEN,Sweden,Y
DD,Nok Air,\N,NOK,NOK AIR,Thailand,Y
DE,Condor Flugdienst,\N,CFG,CONDOR,Germany,Y
